identifier,lookup_type,class,location_type,location,sha1,stimulus_set_identifier,lookup_source
brendel.Geirhos2021_false-colour,assembly,BehavioralAssembly,S3,https://brainio-brainscore.s3.amazonaws.com/assy_brendel_Geirhos2021_false-colour.nc,4dc072264651c81575564ba4818a12b8e8039c65,brendel.Geirhos2021_false-colour,brainio_brainscore
brendel.Geirhos2021_false-colour,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_false-colour.csv,8a09a7af8ec44339bcae5500ae5900d9c4309042,,brainio_brainscore
brendel.Geirhos2021_false-colour,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_false-colour.zip,ec0ba347fc14d0c0587d38bfa96e4ab5d2f7979a,,brainio_brainscore
brendel.Geirhos2021_high-pass,assembly,BehavioralAssembly,S3,https://brainio-brainscore.s3.amazonaws.com/assy_brendel_Geirhos2021_high-pass.nc,5df45c69127758f1ba3391671c521711050e3b4d,brendel.Geirhos2021_high-pass,brainio_brainscore
brendel.Geirhos2021_high-pass,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_high-pass.csv,ddf523dcf43398cc15894c7b51c436d526e6c992,,brainio_brainscore
brendel.Geirhos2021_high-pass,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_high-pass.zip,12322bb17270a5dde206314fcdc125c4bb235e3b,,brainio_brainscore
brendel.Geirhos2021_low-pass,assembly,BehavioralAssembly,S3,https://brainio-brainscore.s3.amazonaws.com/assy_brendel_Geirhos2021_low-pass.nc,75ab628d9e6d0d634290567b1cb261d7f8dc61e2,brendel.Geirhos2021_low-pass,brainio_brainscore
brendel.Geirhos2021_low-pass,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_low-pass.csv,1264f9be407c7d428cf3d62a7bb1b1bb45a821bc,,brainio_brainscore
brendel.Geirhos2021_low-pass,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_low-pass.zip,ad087676e04e51adadea7c7c5c1fa28e4dd6360c,,brainio_brainscore
brendel.Geirhos2021_phase-scrambling,assembly,BehavioralAssembly,S3,https://brainio-brainscore.s3.amazonaws.com/assy_brendel_Geirhos2021_phase-scrambling.nc,4124f9f5b86fb6ed82c98197d292eef50b608aba,brendel.Geirhos2021_phase-scrambling,brainio_brainscore
brendel.Geirhos2021_phase-scrambling,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_phase-scrambling.csv,0cc87f7ac42c2266f98d3a08783f7173499ec2fc,,brainio_brainscore
brendel.Geirhos2021_phase-scrambling,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_phase-scrambling.zip,462e77ab9533072b7036118f1f697e8c9bf30ae4,,brainio_brainscore
brendel.Geirhos2021_power-equalisation,assembly,BehavioralAssembly,S3,https://brainio-brainscore.s3.amazonaws.com/assy_brendel_Geirhos2021_power-equalisation.nc,0aba1b50a7e0802d76c41d332a121a3f96ef4f7d,brendel.Geirhos2021_power-equalisation,brainio_brainscore
brendel.Geirhos2021_power-equalisation,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_power-equalisation.csv,743935476b1fe4b7bd4d01a4eed24cd9ed5b3a22,,brainio_brainscore
brendel.Geirhos2021_power-equalisation,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_power-equalisation.zip,a0d5307525bccf8da8f3d293e7e324b9b20248c6,,brainio_brainscore
brendel.Geirhos2021_rotation,assembly,BehavioralAssembly,S3,https://brainio-brainscore.s3.amazonaws.com/assy_brendel_Geirhos2021_rotation.nc,e51a5c3bc95ade159e71aa602232063730bcd57b,brendel.Geirhos2021_rotation,brainio_brainscore
brendel.Geirhos2021_rotation,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_rotation.csv,2577831e9ead905669613fa17cb2651d0c48a455,,brainio_brainscore
brendel.Geirhos2021_rotation,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_rotation.zip,8f5d9cb217807e96ace61337144e429d0d4ba04c,,brainio_brainscore
brendel.Geirhos2021_silhouette,assembly,BehavioralAssembly,S3,https://brainio-brainscore.s3.amazonaws.com/assy_brendel_Geirhos2021_silhouette.nc,7dc94991465fe8009244e0d6fb8283419a1f9885,brendel.Geirhos2021_silhouette,brainio_brainscore
brendel.Geirhos2021_silhouette,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_silhouette.csv,fb57005ecb80e4e37b01e084f1f176fe7f59ff7f,,brainio_brainscore
brendel.Geirhos2021_silhouette,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_silhouette.zip,36c8a481f7876a2af2ad4fe80890b302fe3ae91e,,brainio_brainscore
brendel.Geirhos2021_sketch,assembly,BehavioralAssembly,S3,https://brainio-brainscore.s3.amazonaws.com/assy_brendel_Geirhos2021_sketch.nc,6709850864cea16d99a29fb31ae3c4a489983562,brendel.Geirhos2021_sketch,brainio_brainscore
brendel.Geirhos2021_sketch,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_sketch.csv,a5741b2f7bd08541a0dbefd7fb2d6a3845ca800b,,brainio_brainscore
brendel.Geirhos2021_sketch,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_sketch.zip,8e8712f08a5ad3655ea2bd8cd675db8cdf65129a,,brainio_brainscore
brendel.Geirhos2021_stylized,assembly,BehavioralAssembly,S3,https://brainio-brainscore.s3.amazonaws.com/assy_brendel_Geirhos2021_stylized.nc,dcf15f292e787a88e1e0f271e6b2838d6bdadfd3,brendel.Geirhos2021_stylized,brainio_brainscore
brendel.Geirhos2021_stylized,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_stylized.csv,2265a540dee6915150bf7c61143eaf788f603866,,brainio_brainscore
brendel.Geirhos2021_stylized,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_stylized.zip,75d273e8de643b0d814fbe60cd237c31ebe19c44,,brainio_brainscore
brendel.Geirhos2021_uniform-noise,assembly,BehavioralAssembly,S3,https://brainio-brainscore.s3.amazonaws.com/assy_brendel_Geirhos2021_uniform-noise.nc,f5e8b2636738f978c71591b8df6f8a21a66b72d1,brendel.Geirhos2021_uniform-noise,brainio_brainscore
brendel.Geirhos2021_uniform-noise,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_uniform-noise.csv,89b62a6af878974d388278ed0e23e8ed1c2fd855,,brainio_brainscore
brendel.Geirhos2021_uniform-noise,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_uniform-noise.zip,ff4566542d65056028660293e2409b532e887714,,brainio_brainscore
