,version_id
assy_dicarlo_Kar2018hvm.nc,4sytUtSGiyB.G0oBmPCVnnQ6l4FChj8z
assy_dicarlo_Kar2018cocogray.nc,RxiK296HHAe2ql_STmZ2K..uEsfCuHtF
assy_dicarlo_MajajHong2015_public.nc,LZWj2qjAwZKdmHdTGftpBPSO6oq.y9Q7
assy_dicarlo_MajajHong2015_private.nc,te22BOyPgmV_MOnV5l0J3EqjqTIkX3s4
assy_dicarlo_MajajHong2015_temporal_public.nc,7LRAZtOgYeYZIWc3UaJ.lY0AgjtlyV8G
assy_dicarlo_MajajHong2015_temporal_private.nc,BmN.WZG7sq0bvsC_hH_KFXbTLsyylrHN
assy_movshon_FreemanZiemba2013_noaperture_public.nc,ggkwDaFLsKesxL0MZY7fMpHuw3gwaEjs
assy_movshon_FreemanZiemba2013_noaperture_private.nc,SBtg_vxBS_7VsFOy5lBs_.6K_pQnyM40
assy_klab_Zhang2018search_obj_array.nc,EDRblSpQTmoaKRdiY4JEoQ.1UO8mo0Tk
assy_movshon_FreemanZiemba2013_public.nc,Ff3BssTYdRYSXv2hO8ByirYIxsbW1__s
assy_movshon_FreemanZiemba2013_private.nc,3t5ehf.WHJWKX2vUuESVI3PY7ZIUDBkY
assy_movshon_FreemanZiemba2013.nc,knfzP5wWG3BRWgD0PGy1CXCadExElV0f
image_dicarlo_Rust2012.csv,wtjzAmRyAgzZUHcn_ThuAnlIbr5W7o3y
image_dicarlo_Rust2012.zip,.lwNwrP6vLz3cnOOb6eqf8atHSOKoL6X
assy_dicarlo_SanghaviMurty2020.nc,yvyTo2fM8kLsa7h7WMWC8jcqC2uAx.kp
image_dicarlo_BOLD5000.csv,2gHs8J9iH7PzBOO24USSwOmmZZZez0K8
image_dicarlo_BOLD5000.zip,r4gfAtAHaSj2WPc8kC5xkBpR2u4vkj_o
assy_dicarlo_SanghaviJozwik2020.nc,j5AiLVh8xbchFP2CxVxFoifAeJy1vwHA
assy_dicarlo_Sanghavi2020.nc,RZz2m5wUm.wgYyMEDY9UCMuyYjZKDuzw
image_dicarlo_THINGS1.csv,PvdnGZPINuidsDNMZ3M2sZ4A3otjev1M
image_dicarlo_THINGS1.zip,c7UP4sqx2LsayqNxhScM.Omad5cUhw8g
assy_dicarlo_SanghaviMurty2020THINGS1.nc,.n3o2r4SKG4fO829jJPl9zz1UaSM7okH
image_dicarlo_THINGS2.csv,uZK7NNq7mfVFYTw2tdwrmJs7LivGnLRx
image_dicarlo_THINGS2.zip,xibNW6tiYOUZqhxO0XkeXammNehAjQY2
assy_dicarlo_SanghaviMurty2020THINGS2.nc,z_MWZd12fk.AIcQzwRh6.vOIHhxInWRl
image_dietterich_Hendrycks2019_noise.csv,oR0_anEdzvyqgLSWz8.uLbzYeMQR2uem
image_dietterich_Hendrycks2019_noise.zip,Hcbdp9m83Ajoxc5nqWDB0zi9UFplB1w7
image_dietterich_Hendrycks2019_blur.csv,WegyPp9lBJ5jw_hQDhRN8mKQ8aRsCIzv
image_dietterich_Hendrycks2019_blur.zip,IIF74vl5z75b65umHvgn5nds8XHz05Jd
image_dietterich_Hendrycks2019_weather.csv,.2f.Ze0pLG0.qgPxiVAjMQAI.QMzSg5S
image_dietterich_Hendrycks2019_weather.zip,hy.5apU1C13feZSHOR90daDHDc5oRtVk
image_dietterich_Hendrycks2019_digital.csv,f_xxGK_dwzOyy8tM4hmSnnIlRa1RwCiF
image_dietterich_Hendrycks2019_digital.zip,3eblycjaIWN7E4lCcQwMRtRBSotiCxun
image_dicarlo_Rajalingham2020.csv,kPZEA.xmFrtYesjID0KbTZxuuD_LCu4M
image_dicarlo_Rajalingham2020.zip,eTXlzNCSlwK.Lm6Smh.YJe2KmiaW_QNY
assy_dicarlo_Rajalingham2020.nc,L4YlA5o2gToDj4sbXE0Utn362sPyy_GW
image_fei-fei_Deng2009.csv,6cwRpiWNvf1iiYeg6jr444c8NIE4GTee
image_fei-fei_Deng2009.zip,UX_CZSIoOrsFtWAK0j4vYdsprniIhgJB
assy_dicarlo_Seibert2019.nc,vSUte2bpVhGxPRKocfk_MP0s3LAPElBi
image_aru_Kuzovkin2018.csv,XcZTPe65cRJ_vMibAAQOpKyXin0MDWnG
image_aru_Kuzovkin2018.zip,zg5gixyw1mI3e.45CH.O81v8Jqb3dgJp
assy_aru_Kuzovkin2018.nc,nk5w.m3N1D4fWg2PeY9_AJb5yY6UtPeM
assy_dicarlo_Rust2012_single.nc,8T7Pt1LwHPRoxCC9c9xBfMNGDSJ0b3e4
assy_dicarlo_Rust2012_array.nc,O_8qaKqFhzRNOIvVx8djTQDUE0a6g.w9
image_dicarlo_BashivanKar2019_naturalistic.csv,DVRPJT0fKdeRTu6FIjOWClzB9kyyg63R
image_dicarlo_BashivanKar2019_naturalistic.zip,ZxlD_lHE23VzgSCnYypZAHRzO7oblr4h
assy_dicarlo_BashivanKar2019_naturalistic.nc,jDlQnpuhORCtzITHfOFcJiogR7jg8ihJ
image_dicarlo_BashivanKar2019_synthetic.csv,tV0YP8QZ5DahblYrItWsURtUxwMnPXOV
image_dicarlo_BashivanKar2019_synthetic.zip,5YI9FrlUvtVMJETKmThsLJV2IOQlfzvm
assy_dicarlo_BashivanKar2019_synthetic.nc,30CNHSBYS_HN5tEuM1aa5hDFlFKq6gbI
image_aru_Cichy2019.csv,ZtjaClAgoeJPA24WVCsd2IywsML5_pBc
image_aru_Cichy2019.zip,UmONlzEKwa7MaLWIKpWNONe9QSXM8NI6
assy_aru_Cichy2019.nc,83yFgsx5rc6pgpra4UiMxDDvgaV6ytU8
image_dicarlo_ImageNetSlim15000.csv,GJ7u6Aq6nbjMAPL1YeHOxrGhhZVfJ4Uh
image_dicarlo_ImageNetSlim15000.zip,oKEfsCxamcNmJpo7IvEsWok81ODaeIUW
image_dicarlo_Marques2020_blank.csv,TPtJnOoJAKEnWSDrQ_1X9bvx_jUQkTvM
image_dicarlo_Marques2020_blank.zip,4Zv7Mt0cGuKCV5i0uwGipVa91so_6U.V
image_dicarlo_Marques2020_receptive_field.csv,o6JVmVyn015uKDSqwH1Qfaek8I4AH0A2
image_dicarlo_Marques2020_receptive_field.zip,wFfNAHvgptFmzn58VdlABHeEPlnh54EO
image_dicarlo_Marques2020_orientation.csv,FuItfnJQzVkbXuC6oDZYiIa6Ye.ZrtHp
image_dicarlo_Marques2020_orientation.zip,HAlNBCxxrzdFy6g9ofCM1rG49KXMgMjH
image_dicarlo_Marques2020_spatial_frequency.csv,xtKupFJyMLIqtI64H9bFikeeyycg0esU
image_dicarlo_Marques2020_spatial_frequency.zip,cPxm7TfKmFPFigPdzJjOf3gHcdKDkVXi
image_dicarlo_Marques2020_size.csv,VQsd1qLhSKqd5Wfz6tmnmypgs038.hoT
image_dicarlo_Marques2020_size.zip,RAfJJhR9.KQlwdiuZa6PiEiJTs62Jk.4
image_movshon_FreemanZiemba2013_properties.csv,cXG5bRIhKTFX.36oAHk3zvmC.0TreoH8
image_movshon_FreemanZiemba2013_properties.zip,PxoZZYyCCKJDbaoluOC.8nHZKWQ0.m8C
assy_movshon_Cavanaugh2002a.nc,2vAgf8I9mx0dAZ6E.v9_wQ1qjqXlBIlG
assy_devalois_DeValois1982a.nc,d_IU4t6LbkvxsaEEsu9VzhTm9jX3AhSI
assy_devalois_DeValois1982b.nc,jG7loVtkn3vsH0hT6wl4Qv24EsJJJSDt
assy_movshon_FreemanZiemba2013_V1_properties.nc,fmhJH37ozlGbGPW16B0NSgdm2fz17aEc
assy_shapley_Ringach2002.nc,aMkWQinb7JEhJCJb0RhfGJegTwbya6Yw
assy_schiller_Schiller1976c.nc,tJUZfDfz5G1E3UtEjptQeI7Esbg2aArD
image_brendel_Geirhos2021_colour.csv,1ZaFYwHPBkDOrgdrwGHYqMfJJBCWei21
image_brendel_Geirhos2021_colour.zip,X62ivk_UuHgh7Sd7VwDxgnB8tWPK06gt
image_brendel_Geirhos2021_sketch.csv,Z.EJlugAmsHoy1kwR9TSI6uCmldgn747
image_brendel_Geirhos2021_sketch.zip,8pw3EY5H4oLJVhygvrUcAQc05lj4JllD
image_brendel_Geirhos2021_contrast.csv,OsunVV3gPXsgB3lp_kUirl6t.Qy9Xzu9
image_brendel_Geirhos2021_contrast.zip,Gezu9w0T8jL0BHIACTy3VBoR2nleOTK0
image_brendel_Geirhos2021_eidolonI.csv,q4QRehm2cIAi0E1erEQCBfyxMbqbNItt
image_brendel_Geirhos2021_eidolonI.zip,3AGu.Q8jBbJh5iSiH5Mpq9QZDu3itfiI
image_brendel_Geirhos2021_eidolonIII.csv,JVa2jLVBG9_EoFe3dV8kQmBAvXQxb4AA
image_brendel_Geirhos2021_eidolonIII.zip,SJRD2F8CsfHwrpppz.FGLClBAAhOV2wT
image_brendel_Geirhos2021_high-pass.csv,J9v3TDGWx0dqdNYh2Vz8BctY2EpQ7ndd
image_brendel_Geirhos2021_high-pass.zip,L.6uThKdjIE3U0WxH.7IehrjiBLdbkQ6
image_brendel_Geirhos2021_low-pass.csv,yI1wYlc4y3DvtXGFb81saMOHgDP_t75r
image_brendel_Geirhos2021_low-pass.zip,WUd5KNK.lV05AObHabGXQYKdrJ3F9YL4
image_brendel_Geirhos2021_phase-scrambling.csv,VWItIr6fMdSSP1yfNRSkMDZ4uuxMxrgb
image_brendel_Geirhos2021_phase-scrambling.zip,xguK90WVWgOHUmgYFcoe13qo8BJ6z6MW
image_brendel_Geirhos2021_rotation.csv,gWUg4SS.OtrtbV14RXemhMgjQeGw5M64
image_brendel_Geirhos2021_rotation.zip,VoHUYi_3g0awBpC2k8WV.2lCuxBQvdoT
image_brendel_Geirhos2021_uniform-noise.csv,8edSpj0OAnnBdG3IgRNVTff6x3v6i7aS
image_brendel_Geirhos2021_uniform-noise.zip,XRXqDJpQHZLZKERvNOevdDsqRESnNuSU
image_brendel_Geirhos2021_eidolonII.csv,4kXnYMC1rTdUZ8jy1ga29dTbhWuVuRCb
image_brendel_Geirhos2021_eidolonII.zip,okHEb16F_gxXl9EgMRZpUy87.zziTA90
image_brendel_Geirhos2021_power-equalisation.csv,cJ82v9s6U1CF9ZlQwlYy3f8cUqP3oA3W
image_brendel_Geirhos2021_power-equalisation.zip,gzdXAFvWg777viFJhkE_9h1lxSda.SRH
image_brendel_Geirhos2021_stylized.csv,r5ESVPnObUmVhhHbHCIXs4gKSvT2Ezu5
image_brendel_Geirhos2021_stylized.zip,p4lxCUU.4WG.xEPGx3gsILhjhcapZiBS
image_brendel_Geirhos2021_edge.csv,3zqzUnK1hHlYh9tRNMHpuAP9bnDLtxTp
image_brendel_Geirhos2021_edge.zip,6OQpha9nx0GBrLYaYCJ89S2vKaLALKeY
image_brendel_Geirhos2021_silhouette.csv,7zg2Ex3miPaGvktK7kjIfB5e9DNhVS6P
image_brendel_Geirhos2021_silhouette.zip,RFDrz2.PR7A5DfjeQpmejx3R4orIZM4q
image_brendel_Geirhos2021_false-colour.csv,jOj2gCxQDPkWk8.CcpILCHAdyxDVgGog
image_brendel_Geirhos2021_false-colour.zip,H61i.jgHll7KOh8CJUKPMI3hyp.0C9o1
image_brendel_Geirhos2021_cue-conflict.csv,fNwBooRV2kLU9HenaHhr7RSV_9RRt.DF
image_brendel_Geirhos2021_cue-conflict.zip,Zox6nvmZim8DBEx2uLmu6KQBIvv5wLis
assy_brendel_Geirhos2021_colour.nc,RDjCFAFt_J5mMwFBN9Ifo0OyNPKlToqf
assy_brendel_Geirhos2021_contrast.nc,JMyi4jtdirYkdIQEIZRJ2024NQ1McQXc
assy_brendel_Geirhos2021_cue-conflict.nc,WCGAQqS86x2z5CXGlegLPHu3XsH.tEk3
assy_brendel_Geirhos2021_edge.nc,gTmCANJ797ZNcfKzecCnwlnUYcgl1.xa
assy_brendel_Geirhos2021_eidolonI.nc,rVmuuTXAi6XqVI3hdyhe7WqSJNFOsFA4
assy_brendel_Geirhos2021_eidolonII.nc,yOXPugtdV6fx0_BAEY4NeYlzwfCChIaR
assy_brendel_Geirhos2021_eidolonIII.nc,zkbswpduS0z51_OrUF_XA7UaKb_4bYkN
assy_brendel_Geirhos2021_false-colour.nc,GmYh1SBFUiEBLzkf1eRvA_GdXs1kCqtO
assy_brendel_Geirhos2021_high-pass.nc,FB_uDoX3nMZR1Qb6vcR4Y.PdEKKa1eKo
assy_brendel_Geirhos2021_low-pass.nc,qUX5BRBV1rWK75m4QKH5aL1CVKs8x7u7
assy_brendel_Geirhos2021_phase-scrambling.nc,Dg4Je4uHy4pYe7_CIN27fWgeVNonHlZP
assy_brendel_Geirhos2021_power-equalisation.nc,XKaUgVEpoBaTNL0qpFFRNyTq3WRcPQJY
assy_brendel_Geirhos2021_rotation.nc,zkIC2EQlN5oDwhtLDbnl_THME74mtFfc
assy_brendel_Geirhos2021_silhouette.nc,xlpXfo7iy8_nssKR4OwM4199E6wCA0nA
assy_brendel_Geirhos2021_sketch.nc,w7_3YJYTmVMYWbNY6SQvzRvYb45mRqte
assy_brendel_Geirhos2021_stylized.nc,0ESwWyMc5wODloonsSkzURncuYYJMxql
assy_brendel_Geirhos2021_uniform-noise.nc,89aJ7jLIB68QCNCEcQsBjchKbv.31YWH
image_katz_BarbuMayo2019.csv,z2_yFBqD9rtNv3S5l3BFN_Ijk6Vj_oGz
image_katz_BarbuMayo2019.zip,SS3vLphOlh23KoNpYBEC89h3aCrsOARM
